number, en-US, ja-JP, de-DE, en-US (currency), ja-JP (currency), de-DE (currency)
1234567890.12,"1,234,567,890.12","1,234,567,890.12","1.234.567.890,12","$1,234,567,890.12","¥1,234,567,890","1.234.567.890,12 €"
2345678901.23,"2,345,678,901.23","2,345,678,901.23","2.345.678.901,23","$2,345,678,901.23","¥2,345,678,901","2.345.678.901,23 €"
3456789012.34,"3,456,789,012.34","3,456,789,012.34","3.456.789.012,34","$3,456,789,012.34","¥3,456,789,012","3.456.789.012,34 €"
4567890123.45,"4,567,890,123.45","4,567,890,123.45","4.567.890.123,45","$4,567,890,123.45","¥4,567,890,123","4.567.890.123,45 €"
5678901234.56,"5,678,901,234.56","5,678,901,234.56","5.678.901.234,56","$5,678,901,234.56","¥5,678,901,235","5.678.901.234,56 €"
6789012345.67,"6,789,012,345.67","6,789,012,345.67","6.789.012.345,67","$6,789,012,345.67","¥6,789,012,346","6.789.012.345,67 €"
7890123456.78,"7,890,123,456.78","7,890,123,456.78","7.890.123.456,78","$7,890,123,456.78","¥7,890,123,457","7.890.123.456,78 €"
8901234567.89,"8,901,234,567.89","8,901,234,567.89","8.901.234.567,89","$8,901,234,567.89","¥8,901,234,568","8.901.234.567,89 €"
9012345678.9,"9,012,345,678.9","9,012,345,678.9","9.012.345.678,9","$9,012,345,678.90","¥9,012,345,679","9.012.345.678,90 €"
12345678.912,"12,345,678.912","12,345,678.912","12.345.678,912","$12,345,678.91","¥12,345,679","12.345.678,91 €"
23456789.123,"23,456,789.123","23,456,789.123","23.456.789,123","$23,456,789.12","¥23,456,789","23.456.789,12 €"
34567891.234,"34,567,891.234","34,567,891.234","34.567.891,234","$34,567,891.23","¥34,567,891","34.567.891,23 €"
45678912.345,"45,678,912.345","45,678,912.345","45.678.912,345","$45,678,912.35","¥45,678,912","45.678.912,35 €"
56789123.456,"56,789,123.456","56,789,123.456","56.789.123,456","$56,789,123.46","¥56,789,123","56.789.123,46 €"
67891234.567,"67,891,234.567","67,891,234.567","67.891.234,567","$67,891,234.57","¥67,891,235","67.891.234,57 €"
78912345.678,"78,912,345.678","78,912,345.678","78.912.345,678","$78,912,345.68","¥78,912,346","78.912.345,68 €"
89123456.789,"89,123,456.789","89,123,456.789","89.123.456,789","$89,123,456.79","¥89,123,457","89.123.456,79 €"
91234567.89,"91,234,567.89","91,234,567.89","91.234.567,89","$91,234,567.89","¥91,234,568","91.234.567,89 €"
